BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 3141  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel                              
IRAF-MIN=                   0.  /  Min image pixel                              
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = '07D4FL            '  /                                              
FILENAME= '07D4FLFC_RECAL2_ATM[*,1,1]'  /
5101.62694478041  -9.521374E-18
5102.99437224871  2.083689E-18
5104.36179971701  4.037194E-20
5105.72922718531  -3.597373E-18
5107.09665465361  -2.078732E-18
5108.46408212191  6.503780E-18
5109.83150959021  6.409624E-18
5111.19893705851  1.485542E-18
5112.56636452681  1.109364E-19
5113.93379199511  -1.336985E-18
5115.30121946341  3.048881E-18
5116.66864693171  4.678149E-18
5118.03607440001  3.561556E-18
5119.40350186831  3.195993E-19
5120.77092933661  7.476551E-20
5122.13835680491  4.370676E-18
5123.50578427321  2.029038E-18
5124.87321174151  8.042910E-18
5126.24063920981  -2.401511E-18
5127.60806667811  -1.364845E-19
5128.97549414641  -4.874105E-19
5130.34292161471  -2.590125E-19
5131.71034908301  -3.649702E-18
5133.07777655131  6.207771E-18
5134.44520401961  -6.314946E-19
5135.81263148791  -3.437374E-18
5137.18005895621  4.697007E-18
5138.54748642451  -1.445251E-18
5139.91491389281  2.467396E-18
5141.28234136111  -5.432941E-19
5142.64976882941  -2.894419E-18
5144.01719629771  -2.988350E-18
5145.38462376601  -3.787122E-20
5146.75205123431  -2.766076E-18
5148.11947870261  -2.221224E-18
5149.48690617091  2.184166E-18
5150.85433363921  2.727031E-18
5152.22176110751  2.099426E-18
5153.58918857581  -9.520483E-19
5154.95661604411  -9.031867E-19
5156.32404351241  -1.674950E-19
5157.69147098071  -1.387293E-18
5159.05889844901  -3.288980E-19
5160.42632591731  -2.583875E-18
5161.79375338561  5.878979E-19
5163.16118085391  3.480959E-18
5164.52860832221  3.430685E-18
5165.89603579051  -1.128840E-18
5167.26346325881  -1.731427E-18
5168.63089072711  1.499736E-18
5169.99831819541  -1.271008E-18
5171.36574566371  -8.190933E-19
5172.73317313201  4.844247E-19
5174.10060060031  2.839450E-18
5175.46802806861  -3.243981E-19
5176.83545553691  6.759845E-19
5178.20288300521  -7.602179E-19
5179.57031047351  -1.100748E-18
5180.93773794181  -1.366718E-18
5182.30516541011  -1.074073E-18
5183.67259287841  1.022564E-18
5185.04002034671  2.965093E-18
5186.40744781501  -8.933390E-19
5187.77487528331  1.739684E-18
5189.14230275161  -1.732779E-18
5190.50973021991  -1.164917E-18
5191.87715768821  -6.749779E-19
5193.24458515651  2.369049E-18
5194.6120126248  1.496025E-18
5195.9794400931  -1.995995E-19
5197.34686756141  6.177139E-19
5198.71429502971  4.769221E-19
5200.08172249801  -1.272845E-19
5201.4491499663  3.549445E-19
5202.81657743461  -3.318871E-19
5204.1840049029  -8.895148E-19
5205.55143237121  -5.370165E-19
5206.9188598395  -1.833731E-19
5208.2862873078  6.031131E-19
5209.6537147761  -4.544375E-19
5211.0211422444  1.430334E-18
5212.38856971271  1.958164E-18
5213.755997181  1.403377E-18
5215.1234246493  6.489136E-19
5216.4908521176  -2.308736E-19
5217.8582795859  1.481762E-18
5219.22570705421  1.718958E-18
5220.5931345225  2.708066E-18
5221.9605619908  1.588243E-18
5223.3279894591  -1.316892E-18
5224.6954169274  1.174107E-18
5226.0628443957  2.009698E-18
5227.430271864  1.774863E-18
5228.7976993323  1.739252E-18
5230.1651268006  1.678453E-18
5231.5325542689  -6.699791E-19
5232.8999817372  1.635239E-18
5234.2674092055  2.191762E-18
5235.6348366738  1.838133E-18
5237.0022641421  -1.224065E-18
5238.3696916104  4.665214E-19
5239.7371190787  -1.975356E-19
5241.104546547  3.330348E-18
5242.4719740153  1.871102E-18
5243.8394014836  -8.803900E-19
5245.2068289519  -3.007028E-19
5246.5742564202  1.727168E-18
5247.9416838885  -4.710020E-20
5249.3091113568  -2.297451E-19
5250.6765388251  2.464620E-18
5252.0439662934  1.728932E-18
5253.4113937617  -8.485099E-19
5254.77882123  3.180506E-18
5256.1462486983  2.922732E-18
5257.5136761666  1.566360E-18
5258.8811036349  1.513910E-18
5260.2485311032  1.300666E-18
5261.6159585715  1.782069E-18
5262.9833860398  3.118465E-18
5264.3508135081  1.922069E-18
5265.7182409764  1.671850E-18
5267.0856684447  1.226713E-18
5268.453095913  1.943020E-18
5269.8205233813  2.291631E-18
5271.1879508496  1.937558E-18
5272.5553783179  -3.291399E-19
5273.9228057862  1.056648E-18
5275.2902332545  1.183549E-18
5276.6576607228  1.531170E-18
5278.0250881911  -1.067360E-18
5279.3925156594  -5.448569E-19
5280.7599431277  -5.587298E-20
5282.127370596  2.634031E-19
5283.4947980643  1.321023E-18
5284.8622255326  -6.776063E-20
5286.2296530009  -2.639197E-19
5287.5970804692  6.514554E-19
5288.9645079375  -4.796906E-19
5290.3319354058  2.086866E-18
5291.6993628741  1.049619E-18
5293.0667903424  3.066501E-19
5294.4342178107  1.711923E-18
5295.801645279  1.375641E-18
5297.1690727473  1.121467E-18
5298.5365002156  -6.745085E-19
5299.9039276839  2.261845E-18
5301.2713551522  -1.044332E-18
5302.6387826205  1.369700E-18
5304.0062100888  1.028465E-18
5305.3736375571  6.933007E-19
5306.7410650254  1.212391E-18
5308.1084924937  9.972846E-19
5309.475919962  1.496410E-18
5310.8433474303  2.468075E-18
5312.2107748986  2.142835E-18
5313.5782023669  2.267492E-19
5314.9456298352  1.810733E-19
5316.3130573035  4.771416E-19
5317.6804847718  3.624734E-19
5319.0479122401  -5.934150E-19
5320.4153397084  2.781695E-19
5321.7827671767  6.198254E-19
5323.150194645  1.014392E-18
5324.5176221133  3.196714E-20
5325.8850495816  2.227537E-20
5327.2524770499  5.286921E-20
5328.6199045182  -2.049725E-19
5329.9873319865  -4.258840E-19
5331.3547594548  -1.722590E-19
5332.72218692309  2.956148E-19
5334.0896143914  1.203826E-18
5335.4570418597  2.983530E-19
5336.824469328  -4.843935E-19
5338.1918967963  1.129906E-18
5339.5593242646  2.471339E-19
5340.92675173289  1.077008E-18
5342.2941792012  -2.287249E-19
5343.6616066695  5.914321E-19
5345.02903413779  1.335224E-18
5346.3964616061  1.224650E-18
5347.7638890744  1.078585E-18
5349.1313165427  9.707157E-19
5350.498744011  -3.830896E-19
5351.86617147929  -4.196303E-19
5353.2335989476  1.049972E-18
5354.60102641589  1.583429E-18
5355.9684538842  -4.218575E-20
5357.33588135249  4.493575E-20
5358.70330882079  -2.587221E-20
5360.07073628909  -1.904584E-19
5361.43816375739  1.269096E-18
5362.80559122569  -7.288880E-20
5364.17301869399  8.259638E-19
5365.54044616229  1.075448E-18
5366.90787363059  1.440902E-18
5368.27530109889  7.576172E-19
5369.64272856719  1.140154E-18
5371.01015603549  8.046354E-19
5372.37758350379  6.225715E-19
5373.74501097209  1.825459E-18
5375.11243844039  5.950384E-19
5376.47986590869  9.845505E-19
5377.84729337699  8.983767E-19
5379.21472084529  2.437332E-20
5380.58214831359  8.259366E-19
5381.94957578189  1.600715E-18
5383.31700325019  7.709742E-19
5384.68443071849  6.082516E-19
5386.05185818679  8.219173E-19
5387.41928565509  1.840500E-18
5388.78671312339  5.677351E-19
5390.15414059169  5.423425E-19
5391.52156805999  -6.464027E-19
5392.88899552829  6.011830E-19
5394.25642299659  1.343007E-18
5395.62385046489  2.160387E-18
5396.99127793319  1.631650E-18
5398.35870540149  4.541390E-19
5399.72613286979  5.572450E-19
5401.09356033809  2.774723E-19
5402.46098780639  1.228607E-18
5403.82841527469  1.084275E-18
5405.19584274299  1.263805E-18
5406.56327021129  8.238457E-19
5407.93069767959  4.883664E-19
5409.29812514789  1.313853E-18
5410.66555261619  6.373701E-19
5412.03298008449  7.222480E-19
5413.40040755279  1.215606E-18
5414.76783502109  9.823888E-19
5416.13526248939  3.769069E-19
5417.50268995769  1.949197E-18
5418.87011742599  -2.598218E-19
5420.23754489429  5.014656E-19
5421.60497236259  5.294853E-19
5422.97239983089  1.360855E-18
5424.33982729919  1.033178E-18
5425.70725476749  9.658934E-19
5427.07468223579  -4.587631E-21
5428.44210970409  4.499822E-21
5429.80953717239  1.597171E-18
5431.17696464069  1.798466E-18
5432.54439210899  5.997953E-19
5433.91181957729  8.276043E-19
5435.27924704559  -1.585941E-19
5436.64667451389  4.731534E-19
5438.01410198219  5.589775E-19
5439.38152945049  1.059446E-18
5440.74895691879  4.761603E-19
5442.11638438709  2.953712E-19
5443.48381185539  9.288117E-19
5444.85123932369  1.175014E-18
5446.21866679199  1.152711E-18
5447.58609426029  5.140253E-19
5448.95352172859  8.597761E-19
5450.32094919689  8.493514E-19
5451.68837666519  1.165197E-18
5453.05580413349  4.496308E-19
5454.42323160179  1.365695E-18
5455.79065907009  1.108569E-18
5457.15808653839  1.173132E-18
5458.52551400669  3.625723E-19
5459.89294147499  1.164916E-18
5461.26036894329  4.511135E-19
5462.62779641159  2.158350E-19
5463.99522387989  1.565176E-18
5465.36265134819  7.080697E-19
5466.73007881649  9.714311E-19
5468.09750628479  1.187156E-18
5469.46493375309  3.463464E-19
5470.83236122139  -2.349787E-19
5472.19978868969  -4.630893E-19
5473.56721615799  4.955081E-19
5474.93464362629  6.164536E-19
5476.30207109459  -2.156910E-19
5477.66949856288  3.470322E-19
5479.03692603119  5.139260E-19
5480.40435349949  1.164524E-18
5481.77178096779  6.482618E-19
5483.13920843608  -5.014012E-19
5484.50663590439  8.249726E-19
5485.87406337269  1.265515E-19
5487.24149084099  7.890010E-19
5488.60891830929  7.373244E-19
5489.97634577759  1.815064E-19
5491.34377324588  6.064610E-19
5492.71120071419  5.643956E-19
5494.07862818248  7.774179E-19
5495.44605565078  -2.108137E-19
5496.81348311908  4.618657E-19
5498.18091058738  5.613969E-19
5499.54833805568  1.167896E-18
5500.91576552398  1.360359E-18
5502.28319299228  9.008562E-20
5503.65062046058  1.256918E-19
5505.01804792888  -5.498138E-20
5506.38547539718  5.564720E-19
5507.75290286548  6.139987E-19
5509.12033033378  4.096641E-19
5510.48775780208  2.062769E-19
5511.85518527038  1.600088E-19
5513.22261273868  9.601124E-19
5514.59004020698  1.267266E-18
5515.95746767528  6.416730E-19
5517.32489514358  7.734721E-19
5518.69232261188  2.773788E-19
5520.05975008018  4.231402E-19
5521.42717754848  6.827777E-19
5522.79460501678  6.718610E-20
5524.16203248508  -5.779638E-20
5525.52945995338  6.968871E-19
5526.89688742168  1.983635E-19
5528.26431488998  -3.101282E-19
5529.63174235828  2.046521E-19
5530.99916982658  -3.388806E-19
5532.36659729488  -2.340986E-19
5533.73402476318  -1.139827E-19
5535.10145223148  3.492547E-19
5536.46887969978  3.309939E-19
5537.83630716808  1.195972E-19
5539.20373463638  4.851527E-19
5540.57116210468  4.403900E-19
5541.93858957298  2.858871E-19
5543.30601704128  6.533031E-19
5544.67344450958  4.386434E-19
5546.04087197788  -3.139917E-19
5547.40829944618  2.677155E-20
5548.77572691448  -9.995590E-20
5550.14315438278  6.839198E-19
5551.51058185108  8.190457E-19
5552.87800931938  -3.640324E-19
5554.24543678768  5.356288E-19
5555.61286425598  8.648784E-19
5556.98029172428  -8.137514E-21
5558.34771919258  4.413881E-19
5559.71514666088  2.154293E-19
5561.08257412918  4.463124E-19
5562.45000159748  3.519968E-19
5563.81742906578  2.519422E-19
5565.18485653408  5.438879E-19
5566.55228400238  8.975540E-19
5567.91971147068  -2.200182E-19
5569.28713893898  3.061976E-19
5570.65456640728  6.496725E-19
5572.02199387558  8.266225E-19
5573.38942134388  2.161183E-19
5574.75684881218  1.869532E-18
5576.12427628048  2.620147E-19
5577.49170374878  2.367294E-19
5578.85913121708  1.360020E-18
5580.22655868538  4.272062E-19
5581.59398615368  -2.275653E-19
5582.96141362198  7.157382E-19
5584.32884109028  9.043898E-19
5585.69626855858  5.431890E-19
5587.06369602688  3.378305E-19
5588.43112349518  6.404409E-19
5589.79855096348  5.825445E-19
5591.16597843178  -3.544084E-20
5592.53340590008  3.009047E-19
5593.90083336838  2.731077E-19
5595.26826083668  -2.575326E-18
5596.63568830498  2.590164E-19
5598.00311577328  4.602044E-19
5599.37054324158  6.744658E-19
5600.73797070988  3.404901E-19
5602.10539817818  1.960677E-19
5603.47282564648  4.425170E-19
5604.84025311478  3.141561E-19
5606.20768058308  2.716145E-19
5607.57510805138  4.702924E-19
5608.94253551968  1.047655E-18
5610.30996298798  5.715765E-19
5611.67739045628  4.339671E-19
5613.04481792458  -1.382136E-19
5614.41224539288  6.701343E-19
5615.77967286117  5.884146E-19
5617.14710032947  -1.083714E-20
5618.51452779778  4.902937E-19
5619.88195526608  2.231143E-19
5621.24938273437  3.027263E-19
5622.61681020267  1.636684E-18
5623.98423767097  -1.501013E-19
5625.35166513928  1.099046E-19
5626.71909260758  2.927058E-19
5628.08652007587  -4.271334E-20
5629.45394754417  9.115949E-19
5630.82137501248  -1.039315E-20
5632.18880248077  2.276429E-19
5633.55622994908  6.189300E-19
5634.92365741737  6.573633E-19
5636.29108488567  -8.469249E-21
5637.65851235397  9.993201E-20
5639.02593982227  5.459441E-19
5640.39336729057  4.899361E-19
5641.76079475887  6.452526E-19
5643.12822222717  4.579982E-19
5644.49564969547  1.464590E-19
5645.86307716377  -1.182357E-19
5647.23050463207  -4.021033E-19
5648.59793210037  3.631324E-19
5649.96535956867  4.737522E-19
5651.33278703697  7.104428E-19
5652.70021450527  1.443524E-19
5654.06764197357  2.497842E-19
5655.43506944187  4.142995E-19
5656.80249691017  8.028271E-19
5658.16992437847  5.284961E-19
5659.53735184677  -1.298260E-19
5660.90477931507  6.947254E-19
5662.27220678337  5.681516E-19
5663.63963425167  5.660675E-19
5665.00706171997  6.487066E-19
5666.37448918827  4.036483E-19
5667.74191665657  5.951487E-19
5669.10934412487  8.742417E-19
5670.47677159317  8.372899E-19
5671.84419906147  6.978599E-19
5673.21162652977  7.926940E-19
5674.57905399807  1.708571E-19
5675.94648146637  2.753360E-19
5677.31390893467  4.443421E-19
5678.68133640297  9.718388E-19
5680.04876387127  7.837367E-19
5681.41619133957  -3.497278E-20
5682.78361880787  1.624389E-19
5684.15104627617  5.618907E-19
5685.51847374447  7.535590E-19
5686.88590121277  9.157046E-19
5688.25332868107  6.096858E-19
5689.62075614937  2.776810E-19
5690.98818361767  8.752386E-19
5692.35561108597  4.941678E-19
5693.72303855427  3.476235E-19
5695.09046602257  -1.461042E-19
5696.45789349087  6.345937E-19
5697.82532095917  4.470148E-19
5699.19274842747  -5.174946E-20
5700.56017589577  2.734294E-19
5701.92760336407  1.030342E-18
5703.29503083237  5.368695E-19
5704.66245830067  7.801450E-19
5706.02988576897  8.192991E-19
5707.39731323727  1.333918E-18
5708.76474070557  8.802757E-19
5710.13216817387  3.804690E-19
5711.49959564217  5.109900E-19
5712.86702311047  6.647448E-19
5714.23445057877  8.258082E-19
5715.60187804707  1.173638E-18
5716.96930551537  1.191007E-18
5718.33673298367  1.028635E-18
5719.70416045197  8.530088E-19
5721.07158792027  9.006459E-19
5722.43901538857  8.070920E-19
5723.80644285687  1.093733E-18
5725.17387032517  1.029722E-18
5726.54129779347  5.786182E-19
5727.90872526177  9.859414E-19
5729.27615273007  1.140759E-18
5730.64358019837  7.796071E-19
5732.01100766667  6.505711E-19
5733.37843513497  8.229048E-19
5734.74586260327  9.219963E-19
5736.11329007157  9.967286E-19
5737.48071753987  2.531839E-19
5738.84814500817  6.219613E-19
5740.21557247647  1.151047E-18
5741.58299994477  1.045052E-18
5742.95042741307  7.464837E-19
5744.31785488137  4.055910E-19
5745.68528234967  7.393596E-19
5747.05270981797  6.810276E-19
5748.42013728627  8.976165E-19
5749.78756475457  7.987096E-19
5751.15499222287  1.647639E-18
5752.52241969117  8.223475E-19
5753.88984715947  9.902911E-19
5755.25727462777  1.360933E-18
5756.62470209607  1.035428E-18
5757.99212956437  5.647726E-19
5759.35955703267  6.557309E-19
5760.72698450096  1.473245E-18
5762.09441196927  1.326070E-18
5763.46183943757  9.406982E-19
5764.82926690587  9.458477E-19
5766.19669437416  1.155905E-18
5767.56412184247  1.162111E-18
5768.93154931076  1.620202E-18
5770.29897677907  1.461753E-18
5771.66640424736  1.420283E-18
5773.03383171566  1.041940E-18
5774.40125918396  7.605880E-19
5775.76868665226  9.808076E-19
5777.13611412057  1.040492E-18
5778.50354158886  8.426567E-19
5779.87096905716  7.935189E-19
5781.23839652546  9.738183E-19
5782.60582399376  9.273583E-19
5783.97325146206  1.086612E-18
5785.34067893036  6.278261E-19
5786.70810639866  9.275791E-19
5788.07553386696  1.319706E-18
5789.44296133526  1.170387E-18
5790.81038880356  8.589054E-19
5792.17781627186  1.436502E-18
5793.54524374016  1.111900E-18
5794.91267120846  1.621512E-18
5796.28009867676  1.159104E-18
5797.64752614506  1.100352E-18
5799.01495361336  7.013128E-19
5800.38238108166  7.256964E-19
5801.74980854996  9.841097E-19
5803.11723601826  1.362533E-18
5804.48466348656  1.701518E-18
5805.85209095486  1.225608E-18
5807.21951842316  1.191129E-18
5808.58694589146  1.010972E-18
5809.95437335976  9.866297E-19
5811.32180082806  1.400791E-18
5812.68922829636  1.258645E-18
5814.05665576466  8.943555E-19
5815.42408323296  4.774433E-19
5816.79151070126  9.306504E-19
5818.15893816956  1.150178E-18
5819.52636563786  1.079442E-18
5820.89379310616  1.096179E-18
5822.26122057446  1.008315E-18
5823.62864804276  1.159861E-18
5824.99607551106  1.117539E-18
5826.36350297936  1.202662E-18
5827.73093044766  1.646042E-18
5829.09835791596  1.153026E-18
5830.46578538426  6.277553E-19
5831.83321285256  7.409051E-19
5833.20064032086  1.692318E-18
5834.56806778916  1.246207E-18
5835.93549525746  6.788030E-19
5837.30292272576  9.665087E-19
5838.67035019406  9.372735E-19
5840.03777766236  1.191418E-18
5841.40520513066  1.148573E-18
5842.77263259896  8.669487E-19
5844.14006006726  1.046794E-18
5845.50748753556  1.351042E-18
5846.87491500386  1.418480E-18
5848.24234247216  1.252414E-18
5849.60976994046  1.182135E-18
5850.97719740876  1.267029E-18
5852.34462487706  1.103424E-18
5853.71205234536  6.140898E-19
5855.07947981366  1.171884E-18
5856.44690728196  1.748158E-19
5857.81433475026  1.217746E-18
5859.18176221856  9.998173E-19
5860.54918968686  1.049065E-18
5861.91661715516  9.290763E-19
5863.28404462346  1.145281E-18
5864.65147209176  1.037982E-18
5866.01889956006  1.296300E-18
5867.38632702836  1.398785E-18
5868.75375449666  1.124977E-18
5870.12118196496  6.369431E-19
5871.48860943326  1.169219E-18
5872.85603690156  1.194679E-18
5874.22346436986  8.556864E-19
5875.59089183816  1.822608E-18
5876.95831930646  9.752323E-19
5878.32574677476  7.064153E-19
5879.69317424306  1.220600E-18
5881.06060171136  1.233291E-18
5882.42802917966  1.083612E-18
5883.79545664796  1.542109E-18
5885.16288411626  8.330657E-19
5886.53031158456  9.667736E-19
5887.89773905286  1.509678E-18
5889.26516652116  1.995353E-18
5890.63259398946  6.157434E-19
5892.00002145775  3.680241E-19
5893.36744892606  8.584783E-19
5894.73487639436  1.127412E-18
5896.10230386266  8.850606E-19
5897.46973133096  1.510484E-18
5898.83715879926  1.036360E-18
5900.20458626756  1.079752E-18
5901.57201373586  1.267425E-18
5902.93944120416  1.393455E-18
5904.30686867246  1.028369E-18
5905.67429614075  1.307290E-18
5907.04172360906  9.596972E-19
5908.40915107736  7.656137E-19
5909.77657854566  8.569858E-19
5911.14400601395  9.739714E-19
5912.51143348225  1.127879E-18
5913.87886095056  9.645546E-19
5915.24628841885  1.322312E-18
5916.61371588715  1.431402E-18
5917.98114335545  1.251794E-18
5919.34857082375  1.030329E-18
5920.71599829205  1.152796E-18
5922.08342576035  1.163939E-18
5923.45085322865  1.041299E-18
5924.81828069695  1.476652E-18
5926.18570816525  1.304966E-18
5927.55313563355  1.051452E-18
5928.92056310185  1.023250E-18
5930.28799057015  1.494544E-18
5931.65541803845  1.413459E-18
5933.02284550675  8.363369E-19
5934.39027297505  9.210208E-19
5935.75770044335  7.288508E-19
5937.12512791165  1.031189E-18
5938.49255537995  1.103846E-18
5939.85998284825  4.894584E-19
5941.22741031655  1.145290E-18
5942.59483778485  4.623817E-19
5943.96226525315  1.847556E-19
5945.32969272145  1.091586E-18
5946.69712018975  9.130576E-19
5948.06454765805  1.229845E-18
5949.43197512635  8.484306E-19
5950.79940259465  1.137448E-18
5952.16683006295  1.020896E-18
5953.53425753125  1.392817E-18
5954.90168499955  1.181947E-18
5956.26911246785  1.142677E-18
5957.63653993615  1.352390E-18
5959.00396740445  1.143783E-18
5960.37139487275  9.228861E-19
5961.73882234105  5.917439E-19
5963.10624980935  6.420819E-19
5964.47367727765  6.514647E-19
5965.84110474595  5.686657E-19
5967.20853221425  3.272223E-19
5968.57595968255  1.270156E-18
5969.94338715085  1.170850E-18
5971.31081461915  1.110170E-18
5972.67824208745  1.240047E-18
5974.04566955575  9.319192E-19
5975.41309702405  1.374306E-18
5976.78052449235  8.716991E-19
5978.14795196065  6.603465E-19
5979.51537942895  6.377998E-19
5980.88280689725  1.040471E-18
5982.25023436555  1.000204E-18
5983.61766183385  1.216500E-18
5984.98508930215  1.171476E-18
5986.35251677045  9.045405E-19
5987.71994423875  6.825600E-19
5989.08737170705  7.484125E-19
5990.45479917535  8.239795E-19
5991.82222664365  1.115500E-18
5993.18965411195  7.971265E-19
5994.55708158025  1.001816E-18
5995.92450904855  1.171834E-18
5997.29193651685  1.069706E-18
5998.65936398515  8.329912E-19
6000.02679145345  7.218099E-19
6001.39421892175  8.025910E-19
6002.76164639005  9.868641E-19
6004.12907385835  1.252257E-18
6005.49650132665  6.880368E-19
6006.86392879495  6.008165E-19
6008.23135626325  1.103605E-18
6009.59878373155  1.094519E-18
6010.96621119985  1.102889E-18
6012.33363866815  1.005874E-18
6013.70106613645  1.298266E-18
6015.06849360475  1.306510E-18
6016.43592107305  1.013209E-18
6017.80334854135  1.362017E-18
6019.17077600965  1.361915E-18
6020.53820347795  9.926424E-19
6021.90563094625  1.025389E-18
6023.27305841455  1.280542E-18
6024.64048588285  1.016542E-18
6026.00791335115  8.426381E-19
6027.37534081945  9.193605E-19
6028.74276828775  1.297756E-18
6030.11019575605  1.076355E-18
6031.47762322435  9.287736E-19
6032.84505069265  1.439167E-18
6034.21247816095  7.954521E-19
6035.57990562925  1.349071E-18
6036.94733309755  1.186734E-18
6038.31476056585  1.086988E-18
6039.68218803415  1.085408E-18
6041.04961550245  1.344766E-18
6042.41704297074  7.330600E-19
6043.78447043904  9.288215E-19
6045.15189790734  1.079798E-18
6046.51932537564  1.350982E-18
6047.88675284395  4.930594E-19
6049.25418031224  1.125220E-18
6050.62160778054  1.101858E-18
6051.98903524884  1.274228E-18
6053.35646271714  1.079344E-18
6054.72389018545  1.032685E-18
6056.09131765374  9.229046E-19
6057.45874512204  1.067517E-18
6058.82617259034  1.298919E-18
6060.19360005864  7.447588E-19
6061.56102752694  1.024609E-18
6062.92845499524  9.701314E-19
6064.29588246354  1.102273E-18
6065.66330993184  1.181121E-18
6067.03073740014  1.294302E-18
6068.39816486844  1.384788E-18
6069.76559233674  1.185607E-18
6071.13301980504  1.350845E-18
6072.50044727334  8.806080E-19
